Image Code,Item/Page Title,Price,Listing Price, Free Shipping, size, Reccomended Size, Measurements,Colour,Condition,Description_1,Description_2, Item Url 
27,Vintage 'Pierre Cardin' Hawaiian Shirt ~ XXL,£14.95,23.92,No,Size on label: XXL ,Recommended size: XL/XXL,"Pit to pit: 26"" // Shoulder to bottom: 32"" ",Colour: Black ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-pierre-cardin-hawaiian-shirt-xxl
28,Vintage 'Croft & Barrow' Hawaiian Shirt,£12.95,20.72,No,Size on label: XL ,Recommended size: L / XL,"Pit to pit: 24"" // Shoulder to bottom: 28"" ",Colour: White ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-croft-barrow-hawaiian-shirt
29,Vintage 'West Bay' Hawaiin Shirt ~ Medium,£9.95,16.915,No,Size on label: M ,Recommended size: M,"Pit to pit: 21"" // Shoulder to bottom: 27"" ",Colour: Dark Blue,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-west-bay-hawaiin-shirt
30,Vintage 'Proline' Chinese Dragon Shirt ~ Large,£9.95,16.915,No,Size on label: NA,Recommended size: L,"Pit to pit: 24"" // Shoulder to bottom: 28"" ",Colour: Blue/Grey ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-proline-chinese-dragon-shirt-large
31,Vintage 'Batik Bay' Hawaiian Shirt ~ Xtra Large,£9.95,16.915,No,Size on label: XL,Recommended size: XL,"Pit to pit: 24"" // Shoulder to bottom: 30"" ",Colour: Multi ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-batik-bay-hawaiian-shirt-xtra-large
32,Vintage 'Arizona' Patterned Shirt ~ Large,£9.95,16.915,No,Size on label: L ,Recommended size: L ,"Pit to pit: 24"" // Shoulder to bottom: 27"" ",Colour: Green,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-arizona-patterned-shirt
33,Vintage 'Merona' Hawaiin Shirt ~ Large,£6.95,11.815,No,Size on label: L ,Recommended size: L ,"Pit to pit: 24"" // Shoulder to bottom: 27"" ",Colour: Sky Blue,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-merona-hawaiin-shirt-large
34,Vintage 'Oasis' Hawaiin Shirt ~ Xtra Large,£9.95,16.915,No,Size on label: N/A,Recommended size: L / XL,"Pit to pit: 25"" // Shoulder to bottom: 30"" ",Colour: Blue ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-oasis-hawaiin-shirt-xtra-large
35,Vintage Paisley Shirt ~ Large,£9.95,16.915,No,Size on label: L ,Recommended size: L ,"Pit to pit: 24"" // Shoulder to bottom: 30"" ",Colour: Dark Green ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-paisley-shirt-large
36,DC Shoes 3/4 Sleeve T-Shirt ~ Xtra Large,£11.99,19.184,No,Size on label: XL ,Recommended size: L ,"Pit to pit: 21"" // Shoulder to bottom: 29"" ",Colour: Blue & Grey ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/dc-3-4-sleeve-t-shirt
1,Vintage 'Eddie Bauer' Gillet ~ Medium,£18.99,30.384,No,Size on label: M,Recommended size: M,"Pit to pit: 24"" // Shoulder to bottom: 27"" ",Colour: Green ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-eddie-bauer-gillet-medium
2,Vintage 'Torras' Suede Aztec Jacket ~ Large,£44.99,65.2355,No,Size on label: N/A,Recommended size: L/XL ,"Pit to pit: 26"" // Shoulder to bottom: 30"" ",Colour: Green ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-torras-suede-aztec-jacket-large
3,Vintage 'Masterly' Suede Aztec Jacket ~ Xtra Large,£52.99,74.186,Yes,Size on label: XL ,Recommended size: XL ,"Pit to pit: 28"" // Shoulder to bottom: 30"" ",Colour: Olive Green ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-masterly-suede-aztec-jacket-xtra-large
6,Vintage Wrangler Shirt ~ Xtra Large,£9.99,16.983,No,Size on label: XXL ,Recommended size: XL (Baggy Fit) ,"Pit to pit: 29"" // Shoulder to bottom: 32"" ",Colour: Blue & White, with American flag trim. ,Condition: Good vintage condition, some signs of wear & tear. Please see pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-wrangler-shirt-xtra-large
7,Vintage Harley Davidson Long Sleeve T-Shirt ~ Xtra Large,£12.99,20.784,No,Size on label: XL,Recommended size: L/XL ,"Pit to pit: 23"" // Shoulder to bottom: 30"" ",Colour: Blue, White Stripes, Maroon ,Condition: Good vintage condition,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-long-sleeve-t-shirt-xtra-large
8,Vintage Harley Davidson T-Shirt ~ Large,£12.99,20.784,No,Size on label: L,Recommended size: L,"Pit to pit: 21.5"" // Shoulder to bottom: 29"" ",Colour: Black,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-t-shirt-large
9,Vintage Champion 3/4 Sleeve T-Shirt ~ Large,£9.99,16.983,No,Size on label: L,Recommended size: L,"Pit to pit: 21"" // Shoulder to bottom: 31"" ",Colour: White & Yellow. ,Condition: Good vintage condition, signs of wear, not perfect white. Please see photos. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-champion-3-4-sleeve-t-shirt-large
10,Vintage 90's Adidas Track Jacket ~ Xtra Large,£22.95,34.425,No,Size on label: D8 F192 ,Recommended size: XL,"Pit to pit: 27"" // Shoulder to bottom: 30"" ",Colour: Blue / Yellow ,Condition: Good vintage condition! Some dirt marks, please see pictures. ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-90s-adidas-track-jacket-xtra-large-2
11,Vintage 90's Adidas Sweatshirt ~ Large,£44.95,65.1775,No,Size on label: D5 174,Recommended size: L ,"Pit to pit: 25"" // Shoulder to bottom: 28.5"" ",Colour: Lime / Yellow ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-90s-adidas-sweatshirt-large-2
12,Vintage Harley Davidson Zip Sweater ~ Medium,£49.95,72.4275,No,Size on label: M,Recommended size: M,"Pit to pit: 21"" // Shoulder to bottom: 25"" ",Colour: Black,Condition: Excellent vintage condition!  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-zip-sweater-medium
13,Vintage Coogi Style Knitted Jumper ~ Medium,£39.95,57.9275,No,Size on label: M,Recommended size: M,"Pit to pit: 24"" // Shoulder to bottom: 28"" ",Colour: Purple ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/coogi-style-knitted-jumper-medium
14,Vintage USA College Champion Sweatshirt ~ Xtra Large,£34.95,50.6775,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 24.5"" // Shoulder to bottom: 30"" ",Colour: Dark Green ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-usa-college-champion-sweatshirt-xl
15,Vintage Kappa Zip-Up Sweatshirt ~ Xtra Small,£29.95,44.925,No,Size on label: XS,Recommended size: XS,"Pit to pit: 21.5"" // Shoulder to bottom: 23"" ",Colour: Red  ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-kappa-zip-up-sweatshirt-xtra-small
16,Vintage Rolling Stones 1994 Voodo Lounge Tour T-Shirt ~ Large,£24.95,37.425,No,Size on label: L,Recommended size: L,"Pit to pit: 22"" // Shoulder to bottom: 29"" ",Colour: Purple Tye Dye ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-rolling-stones-1994-voodo-lounge-souvenir-t-shirt-large
17,Vintage Nautica Jacket (Reversible) ~ Xtra Large,£29.95,44.925,No,Size on label: XL,Recommended size: XL,"Pit to pit: 29"" // Shoulder to bottom: 27"" ",Colour: Peach // Purple  ,Condition: Good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nautica-jacket-reversible-xl
18,Vintage The North Face x Albertville 92 Winter Olympics ~ Large,£39.95,57.9275,No,Size on label: L,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 32"" ",Colour: Purple & Blue ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-the-north-face-x-albertville-92-winter-olympics-large
19,Vintage Nike x Arsenal Hoodie ~ Large,£29.95,44.925,No,Size on label: L,Recommended size: L,"Pit to pit: 24"" // Shoulder to bottom: 28"" ",Colour: Red ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-x-arsenal-hoodie-large
20,Vintage 80's Fila Ski Gilet ~ Large,£32.95,47.7775,No,Size on label: L,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 28"" ",Colour: Multi,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-80s-fila-ski-gilet-large
21,Vintage Boston University Sweater ~ Large,£29.95,44.925,No,Size on label: L,Recommended size: L/M (for a baggy fit) ,"Pit to pit: 23"" // Shoulder to bottom: 27"" ",Colour: Dark Blue ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-boston-university-sweater-large
22,Vintage Fred Perry Track Jacket ~ XXL,£34.95,50.6775,No,Size on label: XXL ,Recommended size: XXL ,"Pit to pit: 28.5"" // Shoulder to bottom: 28"" ",Colour: White, Dark Blue with Green & Red Trim ,Condition: Very good vintage condition! ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-fred-perry-track-jacket-xxl
23,Vintage Ralph Lauren Polo Sport Trench Coat ~ Large,£34.95,50.6775,No,Size on label: M,Recommended size: L,"Pit to pit: 23"" // Shoulder to bottom: 32.5"" ",Colour: Navy,Condition: Good vintage condition. Missing one button. ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-ralph-lauren-polo-sport-trench-coat-large
24,Vintage Ralph Lauren Chaps Jacket ~ Large,£59.95,83.93,Yes,Size on label: L,Recommended size: L,"Pit to pit: 22"" // Shoulder to bottom: 27.5"" ",Colour: Dark Green, Beige Corduroy Collar ,Condition: Excellent vintage condition! ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-ralph-lauren-chaps-jacket-large
25,RARE 80's Bonnie Sportswear USA Olympics Jacket ~ Large,£54.95,76.93,Yes,Size on label: N/A,Recommended size: L,"Pit to pit: 23"" // Shoulder to bottom: 26"" ",Colour: Cream,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/rare-80s-bonnie-sportswear-usa-olympics-jacket-large
26,Vintage Dickies Sweatshirt ~ Xtra Large,£32.95,47.7775,No,Size on label: XL,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 29"" ",Colour: Navy ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-dickies-sweatshirt-xtra-large
27,Vintage Women's NAF NAF Sweatshirt ~ Medium,£39.95,57.9275,No,Size on label: N/A ,Recommended size: M,"Pit to pit: 25"" // Shoulder to bottom: 23.5"" ",Colour: Light Red ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-womens-naf-naf-sweatshirt-medium
28,Vintage 90's Nike Puffer Jacket ~ XXL,£59.95,83.93,Yes,Size on label: XXL,Recommended size: XL/XXL ,"Pit to pit: 29"" // Shoulder to bottom: 32"" ",Colour: Blue / Grey ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-90s-nike-puffer-jacket-xxl
29,Vintage Tie Dye Adidas Sweatshirt ~ Large,£35.95,52.1275,No,Size on label: GB:40/42 ,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 28"" ",Colour: Camo Greens ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-tie-dye-adidas-sweatshirt-large
30,RARE Vintage Adidas Bikecross Sweatshirt ~ Medium,£54.95,76.93,Yes,Size on label: N/A ,Recommended size: M,"Pit to pit: 24"" // Shoulder to bottom: 26.5"" ",Colour: White ,Condition: Good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/rare-vintage-adidas-bikecross-sweatshirt-medium
31,Vintage NAF NAF Sweatshirt ~ Large,£44.95,65.1775,No,Size on label: N/A ,Recommended size: M/L,"Pit to pit: 25"" // Shoulder to bottom: 27.5"" ",Colour: Red ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-naf-naf-sweatshirt-medium
32,Vintage Harley Davidson Vest ~ Xtra Large,£22.95,34.425,No,Size on label: N/A,Recommended size: XL ,"Pit to pit: 24"" // Shoulder to bottom: 32"" ",Colour: Dark Grey ,Condition: Excellent vintage condition!  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-vest-xtra-large-2
33,Vintage Harley Davidson T-Shirt ~ Medium,£24.95,37.425,No,HARLEY DAVIDSON: LETHBRIDGE, ALBERTA, CANADA ,Size on label: M,Recommended size: M,"Pit to pit: 20"" // Shoulder to bottom: 29"" ",Colour: Grey/Black ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-t-shirt-medium
34,Vintage Harley Davidson T-Shirt ~ Small,£24.95,37.425,No,HARLEY DAVIDSON: NORTHERN LIGHTS, ARBOR VITAE, WISCONSIN ,Size on label: N/A,Recommended size: S,"Pit to pit: 19"" // Shoulder to bottom: 27"" ",Colour: Navy ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-harley-davidson-t-shirt-small
35,VIntage GAP Hoodie ~ Small,£29.95,44.925,No,Size on label: S,Recommended size: S,"Pit to pit: 22"" // Shoulder to bottom: 25"" ",Colour: Forrest Green ,Condition: Very good vintage condition.  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-gap-hoodie-small
